Gender,Married,Dependents,Education,Self_Employed,Credit_History,Property_Area,Loan_Status,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,log_loan_Amount,total_income,log_total_income
Male,No,0,Graduate,No,1.0,Urban,Y,5849.0,0.0,146.41216216216216,360.0,4.986425672954842,5849.0,8.674025985443025
Male,Yes,1,Graduate,No,1.0,Rural,N,4583.0,1508.0,128.0,360.0,4.852030263919617,6091.0,8.714567550836485
Male,Yes,0,Graduate,Yes,1.0,Urban,Y,3000.0,0.0,66.0,360.0,4.189654742026425,3000.0,8.006367567650246
Male,Yes,0,Not Graduate,No,1.0,Urban,Y,2583.0,2358.0,120.0,360.0,4.787491742782046,4941.0,8.50532301884575
Male,No,0,Graduate,No,1.0,Urban,Y,6000.0,0.0,141.0,360.0,4.948759890378168,6000.0,8.699514748210191
Male,Yes,2,Graduate,Yes,1.0,Urban,Y,5417.0,4196.0,267.0,360.0,5.58724865840025,9613.0,9.170871628065816
Male,Yes,0,Not Graduate,No,1.0,Urban,Y,2333.0,1516.0,95.0,360.0,4.553876891600541,3849.0,8.255568653283746
Male,Yes,3+,Graduate,No,0.0,Semiurban,N,3036.0,2504.0,158.0,360.0,5.062595033026967,5540.0,8.61974977974133
Male,Yes,2,Graduate,No,1.0,Urban,Y,4006.0,1526.0,168.0,360.0,5.123963979403259,5532.0,8.61830469278465
Male,Yes,1,Graduate,No,1.0,Semiurban,N,12841.0,10968.0,349.0,360.0,5.855071922202427,23809.0,10.077818939438902
Male,Yes,2,Graduate,No,1.0,Urban,Y,3200.0,700.0,70.0,360.0,4.248495242049359,3900.0,8.268731832117737
Male,Yes,2,Graduate,No,1.0,Urban,Y,2500.0,1840.0,109.0,360.0,4.6913478822291435,4340.0,8.375629627094451
Male,Yes,2,Graduate,No,1.0,Urban,Y,3073.0,8106.0,200.0,360.0,5.298317366548036,11179.0,9.321792297270326
Male,No,0,Graduate,No,1.0,Rural,N,1853.0,2840.0,114.0,360.0,4.736198448394496,4693.0,8.453827315794417
Male,Yes,2,Graduate,No,1.0,Urban,Y,1299.0,1086.0,17.0,120.0,2.833213344056216,2385.0,7.776954403322442
Male,No,0,Graduate,No,1.0,Urban,Y,4950.0,0.0,125.0,360.0,4.8283137373023015,4950.0,8.507142855562735
